date,total_beds,total_oxygen_beds,total_covid_icu_beds,total_ventilators,total_icu_beds_without_ventilator,total_noncovid_icu_beds,occupied_beds,occupied_oxygen_beds,occupied_covid_icu_beds,occupied_ventilators,occupied_icu_beds_without_ventilator,occupied_noncovid_icu_beds
2022-11-13,8768,8252,2053,1148,905,3292,27,24,11,7,4,2374
2022-11-14,8768,8252,2053,1148,905,3292,28,25,11,6,5,2363
2022-11-15,8618,8117,2019,1135,884,3309,26,23,11,7,4,2354
2022-11-16,8489,8005,1991,1115,876,3311,26,23,10,5,5,2371
2022-11-17,8297,7847,1940,1101,839,3284,26,24,11,5,6,2377
2022-11-18,8280,7830,1932,1101,831,3284,29,26,10,5,5,2363
2022-11-19,8280,7830,1932,1101,831,3284,23,20,10,5,5,2320
2022-11-20,8280,7830,1932,1101,831,3284,23,20,9,5,4,2311
2022-11-21,8280,7830,1932,1101,831,3284,19,17,7,4,3,2313
2022-11-22,8276,7826,1932,1101,831,3284,20,18,6,4,2,2338
2022-11-23,8276,7826,1932,1101,831,3284,18,16,6,4,2,2327
2022-11-24,8276,7826,1932,1101,831,3284,17,15,5,2,3,2326
2022-11-25,8276,7826,1932,1101,831,3284,15,13,6,3,3,2341
2022-11-26,8276,7826,1932,1101,831,3284,15,13,8,5,3,2344
2022-11-27,8315,7826,1932,1101,831,3284,23,21,9,4,5,2350
2022-11-28,8275,7820,1932,1101,831,3284,19,17,9,4,5,2343
2022-11-29,8275,7820,1932,1101,831,3284,16,14,9,5,4,2365
